issue,description,value,effort,type,blockedBy,done,critical,milestone
110,Vehicles that can transport heavy items,2,34,Feature,1,,TRUE,3 Bronze Age
111,"Change oven to kiln, kiln to forge",3,5,Aesthetics,,,,
112,Foundry (building with all moulds),1,34,Content,110,,,
113,"Build vehicle out of pet (horse, oxcart, chariot)",2,89,Feature,,,TRUE,2 Tier-3
114,Gathering/crafting titles,34,89,Feature,,,,
115,"Houses (player-unique, healing buff, teleport spell,storage)",34,55,Feature,118,,,1 Housing
116,Houses restrict construction sites (excluding fires/farms/etc.),34,55,Feature,120,,,1 Housing
117,Houses restrict city construction sites,1,21,Feature,128,,,1 Housing
118,Wells,5,5,Content,,,,1 Housing
119,Destroy player-unique building when new one is completed; don't restrict,1,8,Usability,,,,1 Housing
120,Allow remote deletion of construction sites,5,144,Usability,,,,1 Housing
121,Marble and quarries,5,34,Content,109,,TRUE,5 Iron Age
122,Wheat farms/mills,5,34,Content,109,,,5 Iron Age
123,Bridges,8,89,Feature,109,,,3 Bronze Age
124,Adventure: primeval forest,377,987,Content,125,,,
125,Move adventures to instances,13,610,Feature,,,,
126,Salvage mats from unwanted items,34,34,Feature,,,,
127,Random item drops,233,233,Feature,126,,,
128,Allow remote deletion of city construction sites by king,1,5,Usability,120,,,1 Housing
129,Gear classes; require known recipe to repair that class,13,89,Feature,,,,
130,Make death more clear,5,34,Aesthetics,,,,
131,Ships,13,377,Content,,,TRUE,2 Tier-3
132,lvl-30 adventure,144,987,Content,125,,,
133,lvl-40 adventure,89,987,Content,125,,,
134,lvl-50 adventure,55,987,Content,125,,,
135,lvl-60 adventure,34,987,Content,125,,,
136,lvl-60 raid,55,987,Content,125,,,
